,sqfeet,beds,baths,income,density,rental,sale
0,3037.3386754109774,2,1,230942.7328497472,22526.26184667254,8788.02,1878085.9
1,3971.6588776546773,7,2,18862.784112155554,10651.886588231464,7249.11,32584.0
2,2261.774553328758,1,1,211293.9971080886,10533.557980628671,8304.816666666666,504987.0
3,2276.133237035974,2,1,190142.23382468105,13762.527099000403,8521.74,788457.2133333333
4,2260.8508236102757,2,2,194184.03682939665,15413.497873646236,8656.85,1325512.0466666666
5,4079.9132418304666,6,2,25208.215546072937,14257.558088758402,7650.93,432119.0
6,2268.015873242539,2,1,189292.7440594471,16213.659253626125,8706.71,1600922.0466666669
7,3861.5347184088882,7,2,27533.772259870362,10651.886588231464,7377.66,300803.0
8,3879.0208929146793,6,2,26194.043492263867,10651.886588231464,7369.36,100573.0
9,3997.082785639508,6,2,30322.882156107204,14250.04060411945,7580.32,306270.0
10,3206.159314429935,2,1,189745.34875316842,22528.176160408962,8783.02,1814085.86
11,4254.810440104636,7,1,29799.99645198222,14250.52735339524,7638.29,378194.0
12,2271.966188014528,2,1,230261.74954600184,13519.231916209777,8521.74,788457.2133333333
13,2275.598745874004,1,1,200420.59100704352,13783.924938183922,8521.74,788457.2133333333
14,2275.8658792496853,1,2,183651.6728107169,13963.270801148768,8521.74,788457.2133333333
15,2260.8404365078914,1,2,181870.29594993158,15413.497873646236,8656.85,1325512.0466666666
16,2260.8508236102757,2,2,221369.03043540037,15413.497873646236,8656.85,1325512.0466666666
17,2275.8658792496853,2,1,193444.4294057713,13762.527099000403,8521.74,788457.2133333333
18,2275.598745874004,1,1,200420.59100704352,13783.924938183922,8521.74,788457.2133333333
19,2260.8508236102757,2,2,221369.03043540037,15413.497873646236,8656.85,1325512.0466666666
20,3857.123697506197,7,2,27533.772259870362,10651.886588231464,7377.66,300803.0
21,3206.159314429935,2,1,189745.34875316842,22528.176160408962,8783.02,1814085.86
22,2275.598745874004,2,2,209080.3059436557,13783.924938183922,8521.74,788457.2133333333
23,2276.133237035974,2,1,193444.4294057713,13762.527099000403,8521.74,788457.2133333333
24,2275.598745874004,2,2,186638.63582272767,13783.924938183922,8521.74,788457.2133333333
25,2275.59207642046,1,2,203680.0440307341,13772.753443811733,8521.74,788457.2133333333
26,2275.598745874004,1,1,202254.82130803537,13783.924938183922,8521.74,788457.2133333333
27,2276.11859078627,1,2,207878.7987556293,13963.270801148768,8521.74,788457.2133333333
28,2258.352937156711,2,2,169111.79829217578,13772.860460277423,8521.74,788457.2133333333
29,2268.533685654582,1,1,193843.7867405694,13873.844987284885,8521.74,788457.2133333333
30,2260.8404365078914,1,2,181870.29594993158,15413.497873646236,8656.85,1325512.0466666666
31,2262.1273679299857,1,1,201621.33967310342,13772.753443811733,8521.74,788457.2133333333
32,2261.774553328758,1,1,230362.77526537658,10533.557980628671,8304.816666666666,504987.0
33,2275.8658792496853,1,2,193444.4294057713,13963.270801148768,8521.74,788457.2133333333
34,2260.8508236102757,2,2,217952.73543928613,15413.497873646236,8656.85,1325512.0466666666
35,3857.123697506197,7,2,27533.772259870362,10651.886588231464,7377.66,300803.0
36,3879.0208929146793,6,2,26194.043492263867,10651.886588231464,7369.36,100573.0
37,2275.59207642046,1,1,203680.0440307341,13772.753443811733,8521.74,788457.2133333333
38,2277.191825218104,2,1,191799.1494603487,15426.046087893976,8656.85,1325512.0466666666
39,2262.1273679299857,1,1,202495.24294478048,13772.753443811733,8521.74,788457.2133333333
40,2275.598745874004,2,1,200460.38970105493,13587.134929690297,8521.74,788457.2133333333
41,2275.3493585128217,1,1,230261.74954600184,10533.557980628671,8304.816666666666,504987.0
42,2275.8658792496853,2,1,193444.4294057713,13762.527099000403,8521.74,788457.2133333333
43,2275.598745874004,1,2,202254.82130803537,15427.163173806946,8656.85,1325512.0466666666
44,2261.784940431142,1,1,228379.19429863465,10533.557980628671,8304.816666666666,504987.0
45,2275.598745874004,1,1,202254.82130803537,13783.924938183922,8521.74,788457.2133333333
46,3037.8060748590124,2,1,230881.11620477008,22762.977059080433,8788.02,4004149.98
47,3879.0208929146793,6,2,25078.70545555644,10651.886588231464,7361.01,118661.0
48,2275.598745874004,1,2,199708.4525807601,10811.731023774204,8265.466666666667,504987.0
49,4079.9132418304666,6,2,25208.215546072937,14149.121606803421,7411.48,432119.0
50,2945.7301376411874,1,1,173867.68186024844,16886.372121292912,8783.96,2079526.7
51,2275.59207642046,1,2,161507.70299134986,13772.753443811733,8481.76,788457.2133333333
52,2921.793357640765,1,1,211905.46521160475,13962.729665568522,8643.94,1495207.74
53,2260.8404365078914,1,2,181870.29594993158,17284.10246625956,8699.65,1600922.0466666669
54,2929.9822379013203,1,2,214943.7963597178,21996.306972460763,8739.5,1878085.9
55,3879.0208929146793,7,2,26194.043492263867,10651.886588231464,7369.36,150149.98
56,3315.224381548146,2,2,217940.2645891592,17038.98004493964,8750.46,2015526.66
57,2983.6420756978105,2,1,173074.94068213427,17712.969875767365,8783.96,2079526.7
58,2954.036335275874,1,2,162562.9035963988,16823.75507911876,8783.96,2079526.7
59,2989.04823047174,1,2,205381.1514754261,16994.10286877476,8783.96,2079526.7
60,2927.294171697945,2,1,162518.50972852486,16862.251727125302,8783.96,2079526.7
61,3032.273510245316,1,2,204194.27073453835,17984.342830912014,8783.96,2079526.7
62,2983.842324241239,2,2,206904.8327768608,17542.9151065717,8783.96,2079526.7
63,2978.7148167522882,2,2,179924.79127905608,17722.153050439218,8783.96,2079526.7
64,2946.4258575187832,2,1,217996.05452556274,16938.50266838547,8783.96,2079526.7
65,2978.37918624784,2,1,193076.51355769928,17825.643963737897,8783.96,2079526.7
66,2978.993618334414,2,1,198922.0038400336,16837.807559358072,8783.96,2079526.7
67,2980.249936647904,2,1,188403.73573846594,16935.196975352424,8783.96,2079526.7
68,2929.9822379013203,1,2,215489.02023722822,17120.052117336178,8783.96,2079526.7
69,2952.715820755457,2,2,193444.65951342622,17996.186192446745,8783.96,2079526.7
70,2954.036335275874,1,2,204735.24146904604,16823.75507911876,8783.96,2079526.7
71,3036.9096206677746,2,2,215755.04660144082,16938.75062340476,8783.96,2079526.7
72,2946.233810089525,1,1,227294.21645001232,16879.958106864062,8783.96,2079526.7
73,2950.0988455748648,2,2,168423.18685760043,17038.721662075815,8783.96,2079526.7
74,2954.126677457046,2,1,193076.51355769928,17819.415786838075,8783.96,2079526.7
75,2978.9150652957164,2,2,175044.5025786375,17542.9151065717,8783.96,2079526.7
76,2957.203422370807,2,2,192465.58462675617,17399.488973522723,8783.96,2079526.7
77,3037.8060748590124,2,1,230881.11620477008,22762.977059080433,8788.02,4004149.98
78,2954.509866509956,2,2,168541.95829712937,17397.901633292564,8783.96,2079526.7
79,2980.249936647904,1,1,189812.86245647943,16924.9079195037,8783.96,2079526.7
80,2946.4258575187832,2,1,217996.05452556274,16880.842324508783,8783.96,2079526.7
81,2946.2638561084914,1,1,185876.73053717258,16886.372121292912,8783.96,2079526.7
82,2954.509866509956,2,2,206753.2389801979,17396.09106348383,8783.96,2079526.7
83,2983.6420756978105,2,2,173074.94068213427,17712.969875767365,8783.96,2079526.7
84,2946.4258575187832,2,2,212695.00263087262,16883.968808687932,8783.96,2079526.7
85,2946.2638561084914,1,1,193843.7867405694,16886.372121292912,8783.96,2079526.7
86,2912.6899114897415,2,2,218710.36922905841,16938.75062340476,8783.96,2079526.7
87,2930.902181002887,2,1,218074.54784206487,17211.919811290514,8783.96,2079526.7
88,2957.203422370807,2,2,192397.80287690216,18044.93762886324,8783.96,2079526.7
89,3032.273510245316,1,2,197600.72557322468,17338.8941755715,8783.96,2079526.7
90,3037.8060748590124,2,1,230881.11620477008,22762.977059080433,8788.02,4004149.98
91,2929.9822379013203,1,2,214943.7963597178,17120.052117336178,8783.96,2079526.7
92,2954.509866509956,2,2,206533.86171729866,17396.09106348383,8783.96,2079526.7
93,2921.793357640765,1,1,227294.21645001232,16807.643904485598,8783.96,2079526.7
94,2956.2012012573755,2,1,194171.56871134718,17071.001377253793,8783.96,2079526.7
95,2946.4258575187832,2,2,194171.56871134718,17038.98004493964,8783.96,2079526.7
96,2952.715820755457,2,2,190142.463932336,17996.186192446745,8783.96,2079526.7
97,3042.242173040252,2,1,192529.27252637965,17052.21295923133,8783.96,2079526.7
98,3032.273510245316,1,2,199870.9120875461,17984.342830912014,8783.96,2079526.7
99,2978.9150652957164,1,2,205298.67287607383,17517.980399233562,8783.96,2079526.7
